ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00212,"Soymilk, with added calcium",Milk/eggs/substitute products,0.46,0.18,0.04,0.10,0.08,0.05,0.01,190,1.9,3.3,3.6,Fa0144,Pa035,Ma0332,
Ra00213,"Bouillon, chicken, prepared",Seasonings/preservatives/extracts,0.35,0.01,0.02,0.15,0.13,0.03,0.01,18,0.2,0.3,0.3,Fa0071,Pa020,Ma0332,
Ra00214,"Meat balls, canned",Prepared/preserved foods,16.13,12.73,3.01,-0.52,0.63,0.27,0.01,525,9.6,2.9,7.1,Fa0229,Pa051,Ma0332,
Ra00215,"Bouillon, beef, prepared",Seasonings/preservatives/extracts,0.55,0.17,0.06,0.15,0.13,0.03,0.01,30,0.2,0.1,1.1,Fa0072,Pa020,Ma0332,
Ra00216,"Meat balls, average values",Meat/poultry,16.13,12.73,3.01,-0.52,0.63,0.27,0.01,603,9.5,6,8.8,Fa0229,Pa051,Ma0332,
Ra00217,"Dumplings, average values",Prepared/preserved foods,1.33,0.42,0.00,0.57,0.26,0.06,0.00,764,11.6,12.8,5.4,Fa0231,Pa066,Ma0333,
Ra00218,"Meat balls, frozen",Prepared/preserved foods,15.79,12.73,3.01,-0.50,0.26,0.27,0.02,679,9.4,9,10.5,Fa0230,Pa066,Ma0334,
Ra00219,"Soup, tomato, ready to eat",Prepared/preserved foods,2.19,1.18,0.06,0.58,0.22,0.13,0.01,304,1.5,12.7,1.6,Fa0161,Pa043,Ma0332,
Ra00220,"Bouillon, beef, concentrated, cube",Seasonings/preservatives/extracts,9.94,6.84,1.82,0.63,0.41,0.24,0.01,676,3.2,12,17,Fa0070,Pa023,Ma0332,
Ra00221,"Dumplings, frozen",Prepared/preserved foods,1.37,0.42,0.01,0.59,0.26,0.06,0.02,792,13,9.8,7,Fa0232,Pa066,Ma0334,
Ra00222,"Chicken, grilled, fast food",Prepared/preserved foods,4.71,2.98,0.21,0.07,1.18,0.27,0.00,888,11.2,0,28,Fa0162,Pa052,Ma0333,
Ra00223,"Chicken nuggets, deepfried, ready meals",Prepared/preserved foods,4.34,2.90,0.19,0.71,0.26,0.25,0.02,1171,16.1,19.1,14.7,Fa0163,Pa066,Ma0334,
Ra00224,"Pizza with tomato and cheese, ready meals",Bread/bakery products,2.44,1.16,-0.38,1.34,0.21,0.11,0.00,1351,13.5,35.7,13.3,Fa0091,Pa038,Ma0333,
Ra00225,"Pizza with seafood, tomato and cheese, ready meals",Bread/bakery products,3.63,1.59,0.00,1.71,0.21,0.11,0.00,1073,10,26.7,13.8,Fa0092,Pa038,Ma0333,
Ra00226,"Pizza with salami, tomato and cheese, ready meals",Bread/bakery products,3.04,1.59,-0.10,1.23,0.21,0.10,0.00,1308,14.5,31.7,12.8,Fa0093,Pa038,Ma0333,
Ra00227,"Pizza with vegetables, fruit, tomato and cheese, ready meals",Bread/bakery products,2.32,0.77,-0.12,1.35,0.21,0.11,0.00,921,8.4,26.8,8.1,Fa0094,Pa038,Ma0333,
Ra00228,"Pizza with meat, tomato and cheese, ready meals",Bread/bakery products,4.56,2.76,0.34,1.09,0.21,0.16,0.00,1081,9.8,29.5,11.8,Fa0095,Pa038,Ma0333,
Ra00229,"Pizza with meat and seafood, tomato and cheese, ready meals",Bread/bakery products,4.10,2.18,0.17,1.40,0.21,0.14,0.00,958,9.3,22.4,12.8,Fa0096,Pa038,Ma0333,
Ra00230,"Veal and pork, mince, 15-20% fat, raw",Meat/poultry,22.04,18.07,4.35,-0.88,0.14,0.35,0.00,904,16.4,0,17.6,Fa0164,Pa059,Ma0333,
Ra00231,Goat milk,Milk/eggs/substitute products,2.80,2.24,0.01,0.12,0.08,0.34,0.00,289,4.1,4.4,3.5,Fa0081,Pa035,Ma0333,
Ra00232,Marzipan,Candy/sugar products,12.08,9.19,0.91,0.29,0.67,1.01,0.01,1997,26.5,42,13.3,Fa0165,Pa024,Ma0332,
